8.0,0.01773049645390071 0.03546099290780142 0.0 0.0 0.08156028368794327 0.0 0.0673758865248227 0.01773049645390071
3.0,0.006289308176100629 0.0031446540880503146 0.012578616352201259 0.0031446540880503146 0.06289308176100629 0.018867924528301886 0.040880503144654086 0.015723270440251572
2.0,0.009345794392523364 0.0 0.028037383177570093 0.0 0.12149532710280374 0.018691588785046728 0.04672897196261682 0.009345794392523364
9.0,0.003205128205128205 0.019230769230769232 0.003205128205128205 0.009615384615384616 0.13141025641025642 0.01282051282051282 0.041666666666666664 0.019230769230769232
8.0,0.0 0.01951219512195122 0.004878048780487805 0.0 0.07317073170731707 0.01951219512195122 0.05853658536585366 0.04390243902439024
0.0,0.0 0.0 0.031578947368421054 0.0 0.1 0.05263157894736842 0.05789473684210526 0.021052631578947368
1.0,0.007518796992481203 0.007518796992481203 0.007518796992481203 0.022556390977443608 0.08270676691729323 0.03759398496240601 0.05263157894736842 0.007518796992481203
9.0,0.010135135135135136 0.02364864864864865 0.0 0.0 0.09121621621621621 0.013513513513513514 0.05067567567567568 0.010135135135135136
8.0,0.0043859649122807015 0.03289473684210526 0.0043859649122807015 0.006578947368421052 0.09649122807017543 0.021929824561403508 0.06798245614035088 0.006578947368421052
5.0,0.007345225603357817 0.007345225603357817 0.001049317943336831 0.002098635886673662 0.06505771248688352 0.022035676810073453 0.05456453305351522 0.007345225603357817
3.0,0.0023228803716608595 0.0011614401858304297 0.004645760743321719 0.009291521486643438 0.13008130081300814 0.012775842044134728 0.04878048780487805 0.018583042973286876
1.0,0.03125 0.0 0.0 0.010416666666666666 0.052083333333333336 0.020833333333333332 0.0 0.020833333333333332
7.0,0.0 0.011857707509881422 0.007905138339920948 0.003952569169960474 0.13043478260869565 0.011857707509881422 0.06719367588932806 0.007905138339920948
2.0,0.005270092226613966 0.010540184453227932 0.021080368906455864 0.007905138339920948 0.09749670619235837 0.022397891963109356 0.052700922266139656 0.017127799736495388
2.0,0.0 0.0 0.09230769230769231 0.0 0.09230769230769231 0.015384615384615385 0.06153846153846154 0.046153846153846156
1.0,0.005277044854881266 0.002638522427440633 0.013192612137203167 0.0 0.09498680738786279 0.029023746701846966 0.052770448548812667 0.005277044854881266
4.0,0.0017035775127768314 0.0068143100511073255 0.0 0.0 0.07325383304940375 0.02555366269165247 0.05792163543441227 0.022146507666098807
5.0,0.0 0.005649717514124294 0.011299435028248588 0.011299435028248588 0.0903954802259887 0.011299435028248588 0.05084745762711865 0.022598870056497175
5.0,0.0 0.010582010582010581 0.005291005291005291 0.031746031746031744 0.08465608465608465 0.005291005291005291 0.06878306878306878 0.005291005291005291
2.0,0.008771929824561403 0.0 0.008771929824561403 0.017543859649122806 0.07017543859649122 0.008771929824561403 0.03508771929824561 0.0
4.0,0.006024096385542169 0.0 0.012048192771084338 0.006024096385542169 0.09437751004016064 0.014056224899598393 0.05622489959839357 0.02208835341365462
4.0,0.002570694087403599 0.012853470437017995 0.030848329048843187 0.007712082262210797 0.09254498714652956 0.06683804627249357 0.04884318766066838 0.02056555269922879
5.0,0.004796163069544364 0.007194244604316547 0.016786570743405275 0.002398081534772182 0.08393285371702638 0.023980815347721823 0.05515587529976019 0.02877697841726619
1.0,0.0029239766081871343 0.0029239766081871343 0.008771929824561403 0.023391812865497075 0.14619883040935672 0.02631578947368421 0.06140350877192982 0.03508771929824561
4.0,0.0038910505836575876 0.011673151750972763 0.0311284046692607 0.011673151750972763 0.08171206225680934 0.07392996108949416 0.038910505836575876 0.027237354085603113
3.0,0.0 0.0 0.004830917874396135 0.0 0.10144927536231885 0.00966183574879227 0.07246376811594203 0.0
3.0,0.007142857142857143 0.0035714285714285713 0.02142857142857143 0.0035714285714285713 0.09285714285714286 0.02142857142857143 0.10714285714285714 0.017857142857142856
